,conv1-Conv2d,bn1-BatchNorm2d,relu-ReLU,maxpool-MaxPool2d,layer1-0-conv1-Conv2d,layer1-0-bn1-BatchNorm2d,layer1-0-relu-ReLU,layer1-0-conv2-Conv2d,layer1-0-bn2-BatchNorm2d,layer1-1-conv1-Conv2d,layer1-1-bn1-BatchNorm2d,layer1-1-relu-ReLU,layer1-1-conv2-Conv2d,layer1-1-bn2-BatchNorm2d,layer2-0-conv1-Conv2d,layer2-0-bn1-BatchNorm2d,layer2-0-relu-ReLU,layer2-0-conv2-Conv2d,layer2-0-bn2-BatchNorm2d,layer2-0-downsample-0-Conv2d,layer2-0-downsample-1-BatchNorm2d,layer2-1-conv1-Conv2d,layer2-1-bn1-BatchNorm2d,layer2-1-relu-ReLU,layer2-1-conv2-Conv2d,layer2-1-bn2-BatchNorm2d,layer3-0-conv1-Conv2d,layer3-0-bn1-BatchNorm2d,layer3-0-relu-ReLU,layer3-0-conv2-Conv2d,layer3-0-bn2-BatchNorm2d,layer3-0-downsample-0-Conv2d,layer3-0-downsample-1-BatchNorm2d,layer3-1-conv1-Conv2d,layer3-1-bn1-BatchNorm2d,layer3-1-relu-ReLU,layer3-1-conv2-Conv2d,layer3-1-bn2-BatchNorm2d,layer4-0-conv1-Conv2d,layer4-0-bn1-BatchNorm2d,layer4-0-relu-ReLU,layer4-0-conv2-Conv2d,layer4-0-bn2-BatchNorm2d,layer4-0-downsample-0-Conv2d,layer4-0-downsample-1-BatchNorm2d,layer4-1-conv1-Conv2d,layer4-1-bn1-BatchNorm2d,layer4-1-relu-ReLU,layer4-1-conv2-Conv2d,layer4-1-bn2-BatchNorm2d,avgpool-AdaptiveAvgPool2d,fc-Linear
exec time,0.004987001419067383,0.002991199493408203,0.00099945068359375,0.003991127014160156,0.001995086669921875,0.0,0.0,0.001994609832763672,0.0009665489196777344,0.0019953250885009766,0.0009679794311523438,0.0,0.0009744167327880859,0.0,0.001010894775390625,0.0029926300048828125,0.0,0.0019617080688476562,0.0009992122650146484,0.0009665489196777344,0.0010006427764892578,0.0019948482513427734,0.0009989738464355469,0.0,0.001993417739868164,0.0009982585906982422,0.0019948482513427734,0.0009980201721191406,0.0009980201721191406,0.003987789154052734,0.0009984970092773438,0.0029926300048828125,0.0009975433349609375,0.0029938220977783203,0.0,0.0,0.00299072265625,0.0009992122650146484,0.002992391586303711,0.000997781753540039,0.0,0.005984067916870117,0.0009989738464355469,0.0009992122650146484,0.0009975433349609375,0.0049877166748046875,0.0009989738464355469,0.0,0.004987955093383789,0.0009984970092773438,0.0,0.2563169002532959
size (b),3212011.0,3212011.0,3212011.0,803563.0,803563.0,803563.0,803563.0,803563.0,803563.0,803563.0,803563.0,803563.0,803563.0,803563.0,402155.0,402155.0,402155.0,402155.0,402155.0,402155.0,402155.0,402155.0,402155.0,402155.0,402155.0,402155.0,201451.0,201451.0,201451.0,201451.0,201451.0,201451.0,201451.0,201451.0,201451.0,201451.0,201451.0,201451.0,101099.0,101099.0,101099.0,101099.0,101099.0,101099.0,101099.0,101099.0,101099.0,101099.0,101099.0,101099.0,2795.0,4715.0
