,features-0-Conv2d,features-1-ReLU,features-2-Conv2d,features-3-ReLU,features-4-MaxPool2d,features-5-Conv2d,features-6-ReLU,features-7-Conv2d,features-8-ReLU,features-9-MaxPool2d,features-10-Conv2d,features-11-ReLU,features-12-Conv2d,features-13-ReLU,features-14-Conv2d,features-15-ReLU,features-16-MaxPool2d,features-17-Conv2d,features-18-ReLU,features-19-Conv2d,features-20-ReLU,features-21-Conv2d,features-22-ReLU,features-23-MaxPool2d,features-24-Conv2d,features-25-ReLU,features-26-Conv2d,features-27-ReLU,features-28-Conv2d,features-29-ReLU,features-30-MaxPool2d,avgpool,classifier-0-Linear,classifier-1-ReLU,classifier-2-Dropout,classifier-3-Linear,classifier-4-ReLU,classifier-5-Dropout,classifier-6-Linear
exe time per layer,0.009972095489501953,0.0019958019256591797,0.025930404663085938,0.001997709274291992,0.005983829498291016,0.008975744247436523,0.0,0.02197408676147461,0.0009992122650146484,0.003020048141479492,0.0109710693359375,0.0009989738464355469,0.020944595336914062,0.0009987354278564453,0.020977020263671875,0.0009999275207519531,0.0019953250885009766,0.012996435165405273,0.0,0.02194356918334961,0.0009965896606445312,0.022938013076782227,0.0,0.0009987354278564453,0.007977724075317383,0.0,0.010971546173095703,0.0,0.00797891616821289,0.0,0.0,0.0,0.27726006507873535,0.0,0.000997304916381836,0.004988193511962891,0.0,0.0,0.0019974708557128906
size (b),12845803.0,12845803.0,12845803.0,12845803.0,3212011.0,6423275.0,6423275.0,6423275.0,6423275.0,1606379.0,3212011.0,3212011.0,3212011.0,3212011.0,3212011.0,3212011.0,803563.0,1606379.0,1606379.0,1606379.0,1606379.0,1606379.0,1606379.0,402155.0,402155.0,402155.0,402155.0,402155.0,402155.0,402155.0,101099.0,101099.0,17131.0,17131.0,17131.0,17131.0,17131.0,17131.0,4715.0
