,cov1-0-Conv2d,cov1-1-ReLU,cov1-2-Conv2d,cov1-3-ReLU,cov1-4-Conv2d,cov1-5-ReLU,pool1-MaxPool2d,cov2-0-Conv2d,cov2-1-ReLU,cov2-2-Conv2d,cov2-3-ReLU,cov2-4-Conv2d,cov2-5-ReLU,pool2-MaxPool2d,cov3-0-Conv2d,cov3-1-ReLU,cov3-2-Conv2d,cov3-3-ReLU,cov3-4-Conv2d,cov3-5-ReLU,pool3-MaxPool2d,cov4-0-Conv2d,cov4-1-ReLU,cov4-2-Conv2d,cov4-3-ReLU,cov4-4-Conv2d,cov4-5-ReLU,gap-0-AvgPool2d
exec time,0.01994013786315918,0.0009961128234863281,0.0019648075103759766,0.0,0.001993894577026367,0.0,0.0009999275207519531,0.005953311920166016,0.0,0.0009984970092773438,0.0,0.0009987354278564453,0.0,0.0,0.0039899349212646484,0.0,0.0010001659393310547,0.0,0.0009968280792236328,0.0,0.0,0.0009968280792236328,0.0,0.0,0.0,0.0,0.0,0.0
size (b),1162347.0,1162347.0,1162347.0,1162347.0,1162347.0,1162347.0,280683.0,747243.0,747243.0,747243.0,747243.0,747243.0,747243.0,173803.0,260331.0,260331.0,260331.0,260331.0,260331.0,260331.0,56043.0,2155.0,2155.0,2155.0,2155.0,2155.0,2155.0,747.0
