,"features-0-Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))",features-1-ReLU(inplace=True),"features-2-Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))",features-3-ReLU(inplace=True),"features-4-MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)","features-5-Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))",features-6-ReLU(inplace=True),"features-7-Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))",features-8-ReLU(inplace=True),"features-9-MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)","features-10-Conv2d(128, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))",features-11-ReLU(inplace=True),"features-12-Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))",features-13-ReLU(inplace=True),"features-14-Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))",features-15-ReLU(inplace=True),"features-16-MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)","features-17-Conv2d(256, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))",features-18-ReLU(inplace=True),"features-19-Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))",features-20-ReLU(inplace=True),"features-21-Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))",features-22-ReLU(inplace=True),"features-23-MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)","features-24-Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))",features-25-ReLU(inplace=True),"features-26-Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))",features-27-ReLU(inplace=True),"features-28-Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))",features-29-ReLU(inplace=True),"features-30-MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)",avgpool,"classifier-0-Linear(in_features=25088, out_features=4096, bias=True)",classifier-1-ReLU(inplace=True),"classifier-2-Dropout(p=0.5, inplace=False)","classifier-3-Linear(in_features=4096, out_features=4096, bias=True)",classifier-4-ReLU(inplace=True),"classifier-5-Dropout(p=0.5, inplace=False)","classifier-6-Linear(in_features=4096, out_features=1000, bias=True)"
exe time per layer,0.00997304916381836,0.001996278762817383,0.026927947998046875,0.0019948482513427734,0.006979942321777344,0.016947269439697266,0.0009942054748535156,0.02293705940246582,0.0010018348693847656,0.0029935836791992188,0.010970592498779297,0.000997781753540039,0.021944284439086914,0.0,0.021940946578979492,0.0,0.001992940902709961,0.012961626052856445,0.0,0.024936199188232422,0.0,0.02493429183959961,0.0009992122650146484,0.0009968280792236328,0.00997304916381836,0.0009996891021728516,0.00897526741027832,0.0,0.009972095489501953,0.0009975433349609375,0.0009982585906982422,0.0009982585906982422,0.30817604064941406,0.0,0.0,0.0069828033447265625,0.0,0.0,0.0019996166229248047
size (b),12845803.0,12845803.0,12845803.0,12845803.0,3212011.0,6423275.0,6423275.0,6423275.0,6423275.0,1606379.0,3212011.0,3212011.0,3212011.0,3212011.0,3212011.0,3212011.0,803563.0,1606379.0,1606379.0,1606379.0,1606379.0,1606379.0,1606379.0,402155.0,402155.0,402155.0,402155.0,402155.0,402155.0,402155.0,101099.0,101099.0,17131.0,17131.0,17131.0,17131.0,17131.0,17131.0,4715.0
