,cov1-0-Conv2d,cov1-1-ReLU,cov1-2-Conv2d,cov1-3-ReLU,cov1-4-Conv2d,cov1-5-ReLU,pool1-MaxPool2d,cov2-0-Conv2d,cov2-1-ReLU,cov2-2-Conv2d,cov2-3-ReLU,cov2-4-Conv2d,cov2-5-ReLU,pool2-MaxPool2d,cov3-0-Conv2d,cov3-1-ReLU,cov3-2-Conv2d,cov3-3-ReLU,cov3-4-Conv2d,cov3-5-ReLU,pool3-MaxPool2d,cov4-0-Conv2d,cov4-1-ReLU,cov4-2-Conv2d,cov4-3-ReLU,cov4-4-Conv2d,cov4-5-ReLU,gap-0-AvgPool2d
exec time,0.013497495651245117,9.975433349609374e-05,0.0015923261642456054,9.894371032714844e-05,0.0014961481094360352,0.0,0.0007977485656738281,0.0048837423324584964,9.965896606445312e-05,0.0008992671966552735,0.0,0.0007005453109741211,9.961128234863282e-05,0.0005986928939819336,0.0028892278671264647,0.0,0.0006983995437622071,0.0,0.0006982803344726563,0.0,0.0,0.0022675514221191405,0.0,0.0005979299545288086,0.0,0.0,0.0,0.0013961553573608398
size (b),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
