,features-0-Conv2d,features-1-ReLU,features-2-Conv2d,features-3-ReLU,features-4-MaxPool2d,features-5-Conv2d,features-6-ReLU,features-7-Conv2d,features-8-ReLU,features-9-MaxPool2d,features-10-Conv2d,features-11-ReLU,features-12-Conv2d,features-13-ReLU,features-14-Conv2d,features-15-ReLU,features-16-MaxPool2d,features-17-Conv2d,features-18-ReLU,features-19-Conv2d,features-20-ReLU,features-21-Conv2d,features-22-ReLU,features-23-MaxPool2d,features-24-Conv2d,features-25-ReLU,features-26-Conv2d,features-27-ReLU,features-28-Conv2d,features-29-ReLU,features-30-MaxPool2d,avgpool,classifier-0-Linear,classifier-1-ReLU,classifier-2-Dropout,classifier-3-Linear,classifier-4-ReLU,classifier-5-Dropout,classifier-6-Linear
exe time per layer,0.025942997932434084,0.0143510103225708,0.28217592000961306,0.018960185050964355,0.027989656925201417,0.10554758787155151,0.010937128067016601,0.2216544771194458,0.011051883697509765,0.01585486888885498,0.0946243667602539,0.006854617595672607,0.18497153043746947,0.006862525939941406,0.19049674272537231,0.006788322925567627,0.009541749954223633,0.08837119817733764,0.004699811935424804,0.17084875583648682,0.004711365699768067,0.171690194606781,0.004774248600006104,0.006587650775909424,0.05386411190032959,0.003605949878692627,0.05543092250823975,0.0035840535163879396,0.05452900171279907,0.0035814595222473143,0.0041814279556274415,0.0037786221504211427,0.28080216884613035,0.00014955997467041015,0.0004207062721252441,0.05898540019989014,0.00014491796493530274,0.0003889346122741699,0.01666252613067627
size (b),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
