,cov1-0-Conv2d,cov1-1-ReLU,cov1-2-Conv2d,cov1-3-ReLU,cov1-4-Conv2d,cov1-5-ReLU,pool1-MaxPool2d,cov2-0-Conv2d,cov2-1-ReLU,cov2-2-Conv2d,cov2-3-ReLU,cov2-4-Conv2d,cov2-5-ReLU,pool2-MaxPool2d,cov3-0-Conv2d,cov3-1-ReLU,cov3-2-Conv2d,cov3-3-ReLU,cov3-4-Conv2d,cov3-5-ReLU,pool3-MaxPool2d,cov4-0-Conv2d,cov4-1-ReLU,cov4-2-Conv2d,cov4-3-ReLU,cov4-4-Conv2d,cov4-5-ReLU,gap-0-AvgPool2d
exec time,0.013058359622955323,0.004069314002990722,0.008993897438049316,0.0039718890190124515,0.009102840423583985,0.003942043781280518,0.006306452751159668,0.05138845682144165,0.003580482006072998,0.010230798721313477,0.0035138583183288575,0.010418641567230224,0.003516571521759033,0.005161271095275879,0.022047834396362306,0.0031099867820739745,0.008280599117279052,0.003233370780944824,0.008300004005432128,0.0032102227210998534,0.0038287019729614257,0.006925413608551026,0.00013973236083984376,0.0033982062339782716,7.601022720336914e-05,0.0030961394309997558,5.865335464477539e-05,0.0030303049087524415
size (b),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
