,conv1-Conv2d,bn1-BatchNorm2d,relu-ReLU,maxpool-MaxPool2d,layer1-0-conv1-Conv2d,layer1-0-bn1-BatchNorm2d,layer1-0-relu-ReLU,layer1-0-conv2-Conv2d,layer1-0-bn2-BatchNorm2d,layer1-1-conv1-Conv2d,layer1-1-bn1-BatchNorm2d,layer1-1-relu-ReLU,layer1-1-conv2-Conv2d,layer1-1-bn2-BatchNorm2d,layer2-0-conv1-Conv2d,layer2-0-bn1-BatchNorm2d,layer2-0-relu-ReLU,layer2-0-conv2-Conv2d,layer2-0-bn2-BatchNorm2d,layer2-0-downsample-0-Conv2d,layer2-0-downsample-1-BatchNorm2d,layer2-1-conv1-Conv2d,layer2-1-bn1-BatchNorm2d,layer2-1-relu-ReLU,layer2-1-conv2-Conv2d,layer2-1-bn2-BatchNorm2d,layer3-0-conv1-Conv2d,layer3-0-bn1-BatchNorm2d,layer3-0-relu-ReLU,layer3-0-conv2-Conv2d,layer3-0-bn2-BatchNorm2d,layer3-0-downsample-0-Conv2d,layer3-0-downsample-1-BatchNorm2d,layer3-1-conv1-Conv2d,layer3-1-bn1-BatchNorm2d,layer3-1-relu-ReLU,layer3-1-conv2-Conv2d,layer3-1-bn2-BatchNorm2d,layer4-0-conv1-Conv2d,layer4-0-bn1-BatchNorm2d,layer4-0-relu-ReLU,layer4-0-conv2-Conv2d,layer4-0-bn2-BatchNorm2d,layer4-0-downsample-0-Conv2d,layer4-0-downsample-1-BatchNorm2d,layer4-1-conv1-Conv2d,layer4-1-bn1-BatchNorm2d,layer4-1-relu-ReLU,layer4-1-conv2-Conv2d,layer4-1-bn2-BatchNorm2d,avgpool-AdaptiveAvgPool2d,fc-Linear
exec time,0.03617905616760254,0.016189239025115966,0.00671077013015747,0.012668225765228271,0.024039626121520996,0.010024647712707519,0.0036658287048339845,0.024603712558746337,0.010001866817474366,0.024276254177093507,0.009889767169952393,0.0036701369285583496,0.024652626514434815,0.009878194332122803,0.0158255410194397,0.010561552047729492,0.003446812629699707,0.021759653091430665,0.010553574562072754,0.007603006362915039,0.01076784372329712,0.021633405685424805,0.010457417964935302,0.0034252214431762695,0.02225620985031128,0.010466287136077881,0.014864449501037597,0.01252568244934082,0.00327772855758667,0.02075409412384033,0.012486627101898193,0.007097368240356445,0.01272913694381714,0.019607975482940673,0.012555482387542725,0.0033125996589660643,0.019558160305023192,0.012567009925842285,0.01816016435623169,0.017405648231506348,0.0001323843002319336,0.02842933177947998,0.0171908974647522,0.007260925769805908,0.017055890560150146,0.029121043682098387,0.01721189498901367,0.0001318979263305664,0.02905977725982666,0.017171974182128905,0.0002747964859008789,0.015797924995422364
size (b),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
