,cov1-0-Conv2d,cov1-1-ReLU,cov1-2-Conv2d,cov1-3-ReLU,cov1-4-Conv2d,cov1-5-ReLU,pool1-MaxPool2d,cov2-0-Conv2d,cov2-1-ReLU,cov2-2-Conv2d,cov2-3-ReLU,cov2-4-Conv2d,cov2-5-ReLU,pool2-MaxPool2d,cov3-0-Conv2d,cov3-1-ReLU,cov3-2-Conv2d,cov3-3-ReLU,cov3-4-Conv2d,cov3-5-ReLU,pool3-MaxPool2d,cov4-0-Conv2d,cov4-1-ReLU,cov4-2-Conv2d,cov4-3-ReLU,cov4-4-Conv2d,cov4-5-ReLU,gap-0-AvgPool2d
exec time,0.0019247615337371826,9.248256683349609e-05,0.0014131993055343627,0.00011465311050415039,0.0014410674571990966,8.743166923522949e-05,0.0007611697912216186,0.005072239637374878,8.717536926269531e-05,0.0007274836301803589,5.718350410461426e-05,0.0007280445098876953,5.9903860092163085e-05,0.0004214131832122803,0.003200361728668213,7.18843936920166e-05,0.0005131429433822632,6.974637508392335e-05,0.00046910345554351807,4.745781421661377e-05,0.00017709434032440186,0.0003622633218765259,1.0102391242980958e-05,9.989917278289795e-05,1.5076398849487305e-05,5.750417709350586e-05,1.2526512145996094e-05,8.734166622161865e-05
size (b),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
