,conv1-Conv2d,bn1-BatchNorm2d,relu-ReLU,maxpool-MaxPool2d,layer1-0-conv1-Conv2d,layer1-0-bn1-BatchNorm2d,layer1-0-relu-ReLU,layer1-0-conv2-Conv2d,layer1-0-bn2-BatchNorm2d,layer1-1-conv1-Conv2d,layer1-1-bn1-BatchNorm2d,layer1-1-relu-ReLU,layer1-1-conv2-Conv2d,layer1-1-bn2-BatchNorm2d,layer2-0-conv1-Conv2d,layer2-0-bn1-BatchNorm2d,layer2-0-relu-ReLU,layer2-0-conv2-Conv2d,layer2-0-bn2-BatchNorm2d,layer2-0-downsample-0-Conv2d,layer2-0-downsample-1-BatchNorm2d,layer2-1-conv1-Conv2d,layer2-1-bn1-BatchNorm2d,layer2-1-relu-ReLU,layer2-1-conv2-Conv2d,layer2-1-bn2-BatchNorm2d,layer3-0-conv1-Conv2d,layer3-0-bn1-BatchNorm2d,layer3-0-relu-ReLU,layer3-0-conv2-Conv2d,layer3-0-bn2-BatchNorm2d,layer3-0-downsample-0-Conv2d,layer3-0-downsample-1-BatchNorm2d,layer3-1-conv1-Conv2d,layer3-1-bn1-BatchNorm2d,layer3-1-relu-ReLU,layer3-1-conv2-Conv2d,layer3-1-bn2-BatchNorm2d,layer4-0-conv1-Conv2d,layer4-0-bn1-BatchNorm2d,layer4-0-relu-ReLU,layer4-0-conv2-Conv2d,layer4-0-bn2-BatchNorm2d,layer4-0-downsample-0-Conv2d,layer4-0-downsample-1-BatchNorm2d,layer4-1-conv1-Conv2d,layer4-1-bn1-BatchNorm2d,layer4-1-relu-ReLU,layer4-1-conv2-Conv2d,layer4-1-bn2-BatchNorm2d,avgpool-AdaptiveAvgPool2d,fc-Linear
exec time,0.002805510759353638,0.0017454832792282104,0.0003939473628997803,0.0025400298833847044,0.0016875630617141724,0.0005187273025512695,9.226262569427491e-05,0.001396012306213379,0.0004438185691833496,0.001396610736846924,0.0004786980152130127,7.728397846221923e-05,0.0013863027095794677,0.000493738055229187,0.0009924334287643433,0.0003563368320465088,4.738569259643555e-05,0.0014709079265594483,0.00037646949291229246,0.0006383562088012695,0.0003840005397796631,0.0013562244176864623,0.00040410816669464114,3.4810900688171385e-05,0.0013340336084365844,0.00038909554481506345,0.001281929612159729,0.00044103145599365233,4.486143589019775e-05,0.0021490806341171263,0.0004290473461151123,0.00035176575183868406,0.0003762930631637573,0.0021616405248641966,0.000441250205039978,5.4863095283508303e-05,0.0021494990587234497,0.000541229248046875,0.0024730038642883302,0.0007227069139480591,2.9920339584350587e-05,0.0047936922311782836,0.0008042347431182861,0.000346335768699646,0.0007054084539413453,0.004651218056678772,0.000799601674079895,3.983557224273682e-05,0.004603185057640076,0.0007997751235961914,9.966254234313965e-05,0.0014358043670654296
size (b),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
