,features-0-Conv2d,features-1-ReLU,features-2-Conv2d,features-3-ReLU,features-4-MaxPool2d,features-5-Conv2d,features-6-ReLU,features-7-Conv2d,features-8-ReLU,features-9-MaxPool2d,features-10-Conv2d,features-11-ReLU,features-12-Conv2d,features-13-ReLU,features-14-Conv2d,features-15-ReLU,features-16-MaxPool2d,features-17-Conv2d,features-18-ReLU,features-19-Conv2d,features-20-ReLU,features-21-Conv2d,features-22-ReLU,features-23-MaxPool2d,features-24-Conv2d,features-25-ReLU,features-26-Conv2d,features-27-ReLU,features-28-Conv2d,features-29-ReLU,features-30-MaxPool2d,avgpool,classifier-0-Linear,classifier-1-ReLU,classifier-2-Dropout,classifier-3-Linear,classifier-4-ReLU,classifier-5-Dropout,classifier-6-Linear
exe time per layer,0.008474780321121216,0.0018408411741256713,0.025662518739700317,0.0017615348100662232,0.005860497951507568,0.012005782723426818,0.0008283698558807373,0.020155691504478455,0.0007834309339523316,0.0029935824871063234,0.010639699697494507,0.00031408190727233887,0.018557875752449035,0.00034410178661346434,0.018520452976226807,0.0003016173839569092,0.001475672721862793,0.010771018266677857,0.00018960356712341308,0.020560014843940735,0.00016959428787231446,0.020452921986579897,0.0001571744680404663,0.0006508314609527588,0.008240067958831787,8.730292320251465e-05,0.008045968413352967,5.742013454437256e-05,0.00805837571620941,7.481455802917481e-05,0.00019703447818756104,0.00024435997009277345,0.0312351655960083,6.477057933807373e-05,0.0001969146728515625,0.004982401132583619,2.4970173835754395e-05,8.21852684020996e-05,0.0012350970506668092
size (b),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
